Site,Cadmium (Cd)_mean,Cadmium (Cd)_sem,Lead (Pb)_mean,Lead (Pb)_sem,Nickel (Ni)_mean,Nickel (Ni)_sem,Zinc (Zn)_mean,Zinc (Zn)_sem,Cobalt (Co)_mean,Cobalt (Co)_sem,Boron (B)_mean,Boron (B)_sem,Manganese (Mn)_mean,Manganese (Mn)_sem,Iron (Fe)_mean,Iron (Fe)_sem,Chromium (Cr)_mean,Chromium (Cr)_sem,Copper (Cu)_mean,Copper (Cu)_sem,Silver (Ag)_mean,Silver (Ag)_sem,Hardness (mg/L CaCO3)_mean,Hardness (mg/L CaCO3)_sem
Catchment outflow,1.325013366603495,0.010902362368386098,95.33519637686649,0.2133857411040765,1.518738630386557,0.0015475345107087701,196.14428044969173,0.06990679331305927,-5.374240494179921,0.006697415009980112,4.273689497820937,0.5756513816967253,9.652236091657247,0.021830966763277004,217.23043084751356,0.0948273905760928,1.1530604988127986,0.03215289840302166,6.8270818224636205,0.052002585860649875,0.20413764086629888,0.34732638144200295,0.06156947766752283,0.00010330857614272021
Hard LV,4.61544804339497,0.025663310083478663,112.04923024070851,0.23193252570686695,2.8840076326039346,0.04216124701277302,588.4271488937038,0.8967900862470515,-2.073010317688577,0.09719819471450164,6.533780487589019,0.6602410905021197,4.4449233996818585,0.03055680678886996,83.86852781214787,0.3524681841819408,0.9214957062066782,0.028529576646125987,3.1919886231250176,0.004287411063438107,0.4561856600450436,0.039854644770486114,0.08637971688739354,0.00030052498675493464
Hard LV US,0.8395066469173132,0.0011676634798106766,233.0412764771869,0.08311048193994708,1.8591933636522433,0.215170584665826,153.22110303753186,0.1396963110838314,-10.07501197130096,0.12504822410262095,2.4130722293529208,0.5093519015377258,32.97281239937189,0.13369120913556465,396.66910748836517,1.2831640609077652,1.4462510681424126,0.06680691398170957,11.141509206001421,0.07764429450486965,0.21760073453892598,0.3082487484868806,0.023967361547899545,3.3147616619999716e-05
Headwaters,0.15075197603966295,0.08622659440883534,70.39687408322061,0.4226893258431943,0.9642862592062801,0.14943589778621147,59.27127059523336,0.08016093256336099,-15.726952624031956,0.3273578869195144,2.0656376323955503,0.5971779978945595,50.93877121514201,0.28092251398443757,620.2209233834129,2.9112590658697854,1.7492278910792591,0.05841415882752243,2.0225634105422827,0.057654587538851665,0.25782023297295237,0.18084356317964476,0.0033831522946455436,1.8126977570149974e-05
Healaugh Spring,0.2594578470871506,0.08768463871936012,1.0941752598328733,0.03265986215466432,1.0725027990249831,0.037490475894123965,1.2082767540873673,0.21791464389057255,0.004203923168991201,0.10556959640901549,14.521460486275547,0.49478423286005757,3.9767851528439992,0.19679242419844123,6.607939137767483,0.13316782904224023,0.48450141302854244,0.02986152492258047,0.3819283074245576,0.03126891151883282,0.42834188038343435,0.08246752074900897,0.1785492306099777,0.0008671314052557111
OGB before swale confluence,0.8184540891704533,0.017727461441712417,9.579456615358247,0.4595722548415786,0.5054300254723473,0.08312597675615796,87.03236015702484,0.06267709606375504,-0.641170742892389,0.14666990501644975,7.389563297667222,0.41027113222098777,0.6702896083375323,0.030504108178529554,14.306033307524253,0.15783210820656857,0.07597256854884842,0.062418345553246116,0.5698785930932772,0.005783910073669851,-0.05944344839522922,0.35836943372139346,0.09764453928919917,0.0004953421323575548
River Swale DS,0.280121898858922,0.06649047526677318,1.1364295893473162,0.20099547864333486,0.9766122810152761,0.007129477060541345,34.252791607316674,0.2084162186509957,-1.1713206644121326,0.04687609817608224,11.695717814658218,0.3941200499877837,12.310823166351511,0.01457188616718108,38.53860510903084,0.26237862675252366,0.18495680183832897,0.016580431979076903,2.0872164115274296,0.20324348655940844,0.0939252254455527,0.1440619943547341,0.1069264840978138,0.0006891159696908213
River Swale US,0.2485496907525534,0.009211378581908548,-0.04495852558811457,0.23288441597130208,1.0091789037550631,0.05408546656851956,31.47404931388289,0.06116855476281913,-1.2528490603271625,0.11666305341153405,12.083998207390934,0.6122053882229745,12.505200160755074,0.0849619235541983,48.99678349015602,0.8022157629582338,0.11853170300630805,0.14860905110849365,0.5451713073557404,0.1678531279038331,0.1093397997135125,0.10356676968775133,0.10971661476206093,0.0004773973546749466
SPENCE level,0.7038629399230021,0.01062612612629757,99.86317223399497,0.003958920853719405,1.410775629621858,0.20910389029631649,139.39599428253064,0.453168562552996,-3.5394902515993856,0.04423796515546441,3.4425507402264155,0.4362353301408093,12.1233962733017,0.07837445311509983,150.55877603457105,0.683207027026242,1.154381389264699,0.06784843203284519,2.809696358377374,0.027970699722390524,0.3487515353333228,0.021427125048714038,0.05138768296327022,0.00012561574001077047
Trib 1,0.4114969648153296,0.07228366288967507,55.90421974843099,0.23693443766372901,1.9002226082522027,0.26820595273177555,89.03888673388721,0.1530675660174019,-7.863268693971504,0.00618980535023006,5.038149961509113,1.640435120425486,48.34926476465277,0.3120936051320218,322.99297093102746,0.2531983067357686,1.245256197945022,0.12186874490503397,1.5885717560063062,0.05048871310779135,0.5578005904138217,0.038385024377299626,0.016511817209028445,1.3185094730810629e-06
Trib 1 DS,1.173895101769444,0.01883448147003891,362.8758286778416,0.6755350428112621,2.0331562034902806,0.10297534285884291,200.81079206947192,0.48033730044453904,-11.27619878543688,0.17078864951278483,3.7370104205532906,1.0870894789759549,52.909287676866384,0.2062368890403281,466.7505985181168,1.5902285340288245,1.61940870033356,0.0805435387935362,4.803213418309451,0.11782432814472465,0.09270943078851375,0.08422339064813096,0.011187794282425771,3.6789398103451425e-05
Trib 1 US,1.4805961955800406,0.058306874081502036,1053.4658327181683,1.4335131046383935,2.1911152978880577,0.013460143106364786,293.26001682380587,0.6638098370179364,-15.988380655593783,0.13108252720754132,3.344209183710755,0.7990661985454497,71.7609287933036,0.35753793633544717,635.0170085733309,2.268924775056888,3.7797223294254625,0.0724711190661026,5.661551765289417,0.00486263024806477,0.4526343185129318,0.07962851415910832,0.010192100622168215,1.5429470010716508e-05
Trib 2,0.41067140633286275,0.0662570445757808,48.85685217284373,0.16604385920531506,1.5508621614655917,0.0294488879069863,202.21752706913296,0.11691412200610785,-2.6875709177782907,0.16416364109746084,3.7326891955404298,0.8819878257826771,9.620015796527627,0.032679521985663484,114.6687984886454,0.31569360024836257,1.0897557410794318,0.03686535080273784,1.3405791561493523,0.02148724230913457,0.31519052777626444,0.1330987987545078,0.04063132203217033,0.00010620478082254241
Trib 3,0.119124971635792,0.09309274844584042,21.65691900103301,0.24255527558295942,0.9346318008436492,0.14261086975272744,60.39209922877117,0.1447601147892783,-3.168977886331807,0.2468428066035484,3.4141239726543424,0.8788417853507746,20.545431072023938,0.04646920388237863,133.35798131892284,0.1982093885131917,1.1050556676251424,0.02711157836531841,3.5355286981887977,0.051165244204046334,0.3245411870405709,0.05411417211772264,0.05414383728163297,0.0002527321658297513
Trib 3 DS,1.9791735274546776,0.1396550686096063,125.41636221611255,0.7556862810747873,2.0457963132858072,0.26050287528955696,293.37173961467965,0.025424065924823935,-5.362498187122388,0.15787679985465086,4.763528914598557,0.6692424264460701,12.9745510686637,0.011050886325572495,218.22439635111863,0.5269253761763295,1.2023278374571076,0.09485687635240314,6.551475064181794,0.0338413184269708,0.49181126594253866,0.014841328516699517,0.05674685606240949,9.931141290581667e-05
Trib 3 US/SPENCE Lv DS,2.284677408037018,0.007213120539605988,139.02308237858847,0.16879450026073783,2.201042207876653,0.03675930868966726,316.0277805436274,0.27147662897664304,-4.155141813325138,0.20979581168372086,4.734124092713221,0.602230058028475,13.457696703786308,0.00585374442249309,173.20034283621396,0.6733574983224813,1.2468289733998663,0.026944208709097417,6.332363301545984,0.023821817194181305,0.5386534812566413,0.13591165004921824,0.057399214826234356,4.469909159366542e-05
